iter	Passed	Remaining
0	61	61541
1	62	31047
2	62	20808
3	63	15699
4	63	12641
5	63	10597
6	64	9131
7	64	8022
8	65	7170
9	65	6481
10	65	5919
11	66	5454
12	66	5060
13	67	4722
14	67	4425
15	67	4164
16	68	3953
17	68	3755
18	69	3575
19	69	3410
20	70	3267
21	70	3130
22	71	3016
23	71	2905
24	71	2801
25	72	2708
26	72	2621
27	73	2544
28	73	2467
29	74	2402
30	74	2339
31	75	2279
32	75	2219
33	76	2163
34	76	2109
35	77	2066
36	77	2018
37	78	1977
38	78	1940
39	79	1901
40	79	1860
41	80	1825
42	80	1790
43	80	1757
44	81	1723
45	81	1694
46	82	1667
47	82	1638
48	83	1612
49	83	1588
50	83	1562
51	84	1537
52	85	1519
53	85	1497
54	86	1480
55	86	1462
56	87	1442
57	87	1424
58	88	1409
59	88	1392
60	89	1374
61	89	1356
62	89	1338
63	90	1323
64	90	1308
65	91	1295
66	91	1279
67	92	1263
68	92	1249
69	93	1236
70	93	1223
71	93	1211
72	94	1198
73	94	1186
74	95	1174
75	95	1163
76	96	1151
77	96	1143
78	97	1132
79	97	1123
80	98	1115
81	98	1105
82	99	1094
83	99	1086
84	100	1079
85	100	1071
86	101	1062
87	101	1054
88	102	1047
89	102	1040
90	103	1032
91	103	1025
92	104	1016
93	104	1010
94	105	1003
95	105	996
96	106	989
97	106	982
98	107	975
99	107	969
100	108	963
101	108	956
102	109	949
103	109	943
104	110	938
105	110	932
106	111	931
107	112	926
108	112	919
109	112	914
110	113	907
111	113	900
112	114	895
113	114	891
114	114	884
115	115	879
116	115	873
117	116	868
118	116	862
119	116	857
120	117	854
121	117	847
122	118	843
123	118	839
124	119	833
125	119	829
126	119	824
127	120	819
128	120	815
129	121	811
130	121	809
131	122	805
132	123	801
133	123	797
134	123	793
135	124	790
136	124	786
137	125	782
138	125	779
139	126	774
140	126	771
141	126	766
142	127	762
143	127	758
144	128	755
145	128	751
146	129	748
147	129	744
148	130	742
149	130	740
150	130	736
151	131	732
152	131	729
153	132	726
154	133	727
155	133	724
156	134	721
157	134	718
158	135	715
159	135	712
160	136	709
161	136	706
162	136	702
163	137	700
164	137	697
165	138	693
166	138	690
167	138	687
168	139	685
169	139	682
170	140	679
171	140	676
172	141	674
173	141	671
174	141	668
175	142	665
176	142	662
177	142	659
178	143	656
179	143	653
180	143	651
181	144	648
182	144	645
183	145	643
184	145	640
185	145	638
186	146	635
187	146	632
188	147	631
189	147	629
190	147	626
191	148	624
192	148	622
193	149	621
194	149	618
195	150	617
196	150	614
197	151	612
198	151	610
199	152	608
200	152	606
201	153	604
202	153	602
203	153	600
204	154	598
205	154	596
206	155	593
207	155	591
208	155	589
209	156	587
210	156	585
211	156	583
212	157	581
213	157	579
214	158	577
215	158	575
216	159	573
217	159	571
218	159	569
219	160	568
220	160	566
221	161	565
222	161	563
223	162	561
224	162	559
225	162	557
226	163	556
227	163	555
228	164	553
229	164	551
230	165	550
231	165	548
232	166	547
233	166	545
234	166	543
235	167	541
236	167	540
237	168	538
238	168	536
239	168	534
240	169	532
241	169	530
242	169	529
243	170	527
244	170	525
245	171	524
246	171	522
247	171	520
248	172	519
249	172	517
250	173	516
251	173	514
252	173	513
253	174	512
254	174	510
255	175	509
256	175	507
257	176	506
258	176	504
259	176	503
260	177	501
261	177	500
262	178	499
263	178	497
264	178	496
265	179	495
266	179	493
267	180	492
268	180	491
269	181	490
270	181	489
271	182	487
272	182	486
273	182	484
274	183	483
275	183	481
276	184	480
277	184	479
278	184	477
279	185	476
280	185	474
281	186	474
282	186	473
283	187	472
284	187	470
285	188	469
286	188	468
287	188	466
288	189	465
289	189	464
290	190	463
291	190	462
292	191	461
293	191	460
294	192	459
295	192	458
296	193	457
297	193	455
298	193	454
299	194	453
300	194	452
301	195	451
302	195	450
303	196	448
304	196	447
305	196	446
306	197	445
307	197	444
308	198	442
309	198	441
310	198	440
311	199	439
312	199	438
313	200	437
314	200	436
315	200	434
316	201	433
317	201	433
318	202	431
319	202	430
320	203	429
321	203	428
322	203	427
323	204	426
324	204	425
325	205	424
326	205	423
327	206	422
328	206	420
329	206	419
330	207	418
331	207	417
332	208	416
333	208	416
334	209	415
335	209	414
336	210	413
337	210	413
338	211	412
339	211	411
340	212	410
341	212	409
342	212	407
343	213	407
344	213	406
345	214	405
346	214	404
347	215	402
348	215	401
349	215	400
350	216	399
351	216	398
352	217	398
353	217	397
354	218	396
355	218	395
356	218	394
357	219	393
358	219	392
359	220	391
360	220	390
361	220	389
362	221	388
363	221	387
364	222	386
365	222	385
366	222	384
367	223	383
368	223	382
369	223	381
370	224	380
371	226	382
372	226	381
373	227	380
374	227	379
375	228	378
376	228	378
377	231	380
378	231	379
379	231	378
380	232	377
381	233	376
382	233	376
383	234	375
384	234	374
385	234	373
386	235	372
387	235	371
388	236	370
389	236	369
390	236	368
391	237	367
392	237	366
393	237	365
394	238	364
395	238	364
396	239	363
397	239	362
398	240	362
399	240	361
400	241	360
401	241	359
402	242	358
403	242	357
404	243	357
405	243	356
406	244	355
407	244	354
408	244	353
409	245	352
410	245	352
411	246	351
412	246	350
413	246	349
414	247	348
415	247	347
416	248	346
417	248	346
418	249	345
419	249	344
420	250	343
421	250	343
422	250	342
423	251	341
424	251	340
425	251	339
426	252	338
427	252	337
428	253	337
429	253	336
430	253	335
431	254	334
432	254	333
433	255	332
434	255	332
435	256	331
436	256	330
437	257	330
438	257	329
439	258	328
440	258	328
441	259	327
442	259	326
443	260	325
444	260	324
445	261	324
446	261	323
447	261	322
448	262	322
449	263	321
450	263	320
451	263	320
452	264	319
453	264	318
454	265	317
455	265	316
456	266	316
457	266	315
458	266	314
459	267	313
460	267	313
461	268	312
462	268	311
463	269	310
464	269	309
465	269	309
466	270	308
467	270	307
468	271	306
469	271	306
470	271	305
471	272	304
472	272	303
473	272	302
474	273	302
475	273	301
476	274	300
477	274	299
478	274	299
479	275	298
480	275	297
481	276	296
482	276	296
483	277	295
484	277	295
485	278	294
486	278	293
487	279	293
488	279	292
489	280	291
490	280	290
491	281	290
492	281	289
493	281	288
494	282	287
495	282	287
496	283	286
497	283	285
498	283	285
499	284	284
500	284	283
501	285	282
502	285	282
503	285	281
504	286	280
505	286	279
506	287	279
507	287	278
508	287	277
509	288	276
510	288	276
511	289	275
512	289	275
513	290	274
514	290	273
515	291	272
516	291	272
517	291	271
518	292	270
519	292	270
520	293	269
521	293	268
522	293	268
523	294	267
524	294	266
525	295	265
526	295	265
527	296	264
528	296	264
529	296	263
530	297	262
531	297	261
532	298	261
533	298	260
534	298	259
535	299	259
536	299	258
537	300	257
538	300	257
539	300	256
540	301	255
541	301	254
542	302	254
543	302	253
544	303	253
545	303	252
546	303	251
547	304	251
548	304	250
549	305	249
550	305	249
551	306	248
552	306	247
553	307	247
554	307	246
555	307	245
556	308	245
557	308	244
558	309	244
559	310	243
560	310	243
561	311	242
562	311	241
563	311	241
564	312	240
565	312	239
566	313	239
567	313	238
568	313	237
569	314	237
570	314	236
571	315	235
572	315	235
573	315	234
574	316	233
575	316	233
576	317	232
577	317	231
